H_B,H_G,H_R,H_total,Lavg_B,Lavg_G,Lavg_R,Lavg_total,channels,eta_B,eta_G,eta_R,file_bytes,height,image,method,mode,pixels,psnr_db,ratio_bits_over_raw,width
7.999284238166583,7.999379334017616,7.999362970880618,23.998026543064817,9.494697570800781,9.468608856201172,9.50350570678711,28.466812133789062,RGB,0.8425001616446351,0.8448315328580365,0.8417275916578575,949042,512,rgb_noise_uniform.png,sfe,RGB,262144,inf,1.186117172241211,512
0.8112781244591328,1.0,1.0,2.811278124459133,1.0,1.0,1.0,3.0,RGB,0.8112781244591328,1.0,1.0,99069,512,rgb_quadrants.png,huffman,RGB,262144,inf,0.125,512
0.8112781244591328,1.0,1.0,2.811278124459133,1.25,1.0,1.0,3.25,RGB,0.6490224995673063,1.0,1.0,107278,512,rgb_quadrants.png,shannon,RGB,262144,inf,0.13541666666666666,512
0.8112781244591328,1.0,1.0,2.811278124459133,2.25,2.0,2.0,6.25,RGB,0.36056805531517017,0.5,0.5,205585,512,rgb_quadrants.png,sfe,RGB,262144,inf,0.2604166666666667,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,6.842044830322266,7.996879577636719,6.799598693847656,21.63852310180664,RGB,0.9951973012405732,0.9960112982076837,0.9954181767916238,724583,512,rgb_radial_gradient.png,huffman,RGB,262144,inf,0.9016051292419434,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,7.338367462158203,8.514411926269531,7.307399749755859,23.160179138183594,RGB,0.9278881965528015,0.9354706442095063,0.9262452262818487,774797,512,rgb_radial_gradient.png,shannon,RGB,262144,inf,0.965007464090983,512
6.809184550103734,7.964982409732462,6.7684441347445405,21.542611094580735,8.338367462158203,9.514411926269531,8.30739974975586,26.160179138183594,RGB,0.8166088363226591,0.8371492081124788,0.8147488189602834,873865,512,rgb_radial_gradient.png,sfe,RGB,262144,inf,1.0900074640909831,512
0.9971803988942642,1.0,1.0,2.9971803988942645,1.0,1.0,1.0,3.0,RGB,0.9971803988942642,1.0,1.0,99070,512,rgb_stripes.png,huffman,RGB,262144,inf,0.125,512
0.9971803988942642,1.0,1.0,2.9971803988942645,1.46875,1.0,1.0,3.46875,RGB,0.6789313354173714,1.0,1.0,114444,512,rgb_stripes.png,shannon,RGB,262144,inf,0.14453125,512
0.9971803988942642,1.0,1.0,2.9971803988942645,2.46875,2.0,2.0,6.46875,RGB,0.4039211742356513,0.5,0.5,212751,512,rgb_stripes.png,sfe,RGB,262144,inf,0.26953125,512
